Id,Age,BirthId,FirstName,Height,LastName,Name,Nationality,Number,Photo,Position,TeamId
3,29,,"",,"","E. Oelschlägel","",32,https://media.api-sports.io/football/players/3.png,Goalkeeper,186
5,29,,"",,"","M. Akanji","",25,https://media.api-sports.io/football/players/5.png,Defender,50
6,25,,"",,"","L. Balerdi","",5,https://media.api-sports.io/football/players/6.png,Defender,81
8,31,,"",,"","Raphaël Guerreiro","",22,https://media.api-sports.io/football/players/8.png,Defender,157
9,26,,"",,"","A. Hakimi","",2,https://media.api-sports.io/football/players/9.png,Defender,85
13,25,,"",,"","D. Zagadou","",23,https://media.api-sports.io/football/players/13.png,Defender,172
14,28,,"",,"","M. Dahoud","",18,https://media.api-sports.io/football/players/14.png,Midfielder,169
16,32,,"",,"","M. Götze","",27,https://media.api-sports.io/football/players/16.png,Midfielder,169
17,26,,"",,"","C. Pulišić","",11,https://media.api-sports.io/football/players/17.png,Midfielder,489
18,24,,"",,"","J. Sancho","",19,https://media.api-sports.io/football/players/18.png,Attacker,49
19,29,,"",,"","J. Weigl","",8,https://media.api-sports.io/football/players/19.png,Midfielder,163
20,35,,"",,"","A. Witsel","",20,https://media.api-sports.io/football/players/20.png,Defender,530
22,26,,"",,"","J. Bruun Larsen","",29,https://media.api-sports.io/football/players/22.png,Attacker,167
23,24,,"",,"","Sergio Gómez","",17,https://media.api-sports.io/football/players/23.png,Defender,548
24,30,,"",,"","M. Philipp","",26,https://media.api-sports.io/football/players/24.png,Attacker,160
26,29,,"",,"","M. Wolf","",11,https://media.api-sports.io/football/players/26.png,Midfielder,170
29,31,,"",,"","J. Oblak","",13,https://media.api-sports.io/football/players/29.png,Goalkeeper,530
31,29,,"",,"","J. Giménez","",2,https://media.api-sports.io/football/players/31.png,Defender,530
33,28,,"",,"","L. Hernández","",21,https://media.api-sports.io/football/players/33.png,Defender,85
44,28,,"",,"",Rodri,"",16,https://media.api-sports.io/football/players/44.png,Midfielder,50
45,29,,"",,"","T. Lemar","",11,https://media.api-sports.io/football/players/45.png,Midfielder,530
48,30,,"",,"","Saúl","",17,https://media.api-sports.io/football/players/48.png,Midfielder,536
49,31,,"",,"","T. Partey","",5,https://media.api-sports.io/football/players/49.png,Midfielder,42
50,32,,"",,"",Koke,"",6,https://media.api-sports.io/football/players/50.png,Midfielder,530
52,23,,"",,"","Sergio Camello","",14,https://media.api-sports.io/football/players/52.png,Attacker,728
53,29,,"",,"","Á. Correa","",10,https://media.api-sports.io/football/players/53.png,Attacker,530
56,33,,"",,"","A. Griezmann","",7,https://media.api-sports.io/football/players/56.png,Attacker,530
59,32,,"",,"","Álvaro Morata","",7,https://media.api-sports.io/football/players/59.png,Attacker,489
68,32,,"",,"","Clinton Mata","",22,https://media.api-sports.io/football/players/68.png,Defender,80
80,27,,"",,"","E. Dennis","",25,https://media.api-sports.io/football/players/80.png,Attacker,65
81,25,,"",,"","K. Diatta","",27,https://media.api-sports.io/football/players/81.png,Midfielder,91
83,27,,"",,"","A. Danjuma","",11,https://media.api-sports.io/football/players/83.png,Attacker,547
85,24,,"",,"","C. Ngonge","",26,https://media.api-sports.io/football/players/85.png,Attacker,492
86,24,,"",,"","L. Openda","",11,https://media.api-sports.io/football/players/86.png,Attacker,173
95,23,,"",,"","B. Badiashile","",5,https://media.api-sports.io/football/players/95.png,Defender,49
98,27,,"",,"","B. Henrichs","",39,https://media.api-sports.io/football/players/98.png,Defender,173
102,32,,"",,"","D. Sidibé","",19,https://media.api-sports.io/football/players/102.png,Defender,96
103,30,,"",,"","J. Aholou","",6,https://media.api-sports.io/football/players/103.png,Midfielder,77
104,29,,"",,"","Carlos Vinícius","",12,https://media.api-sports.io/football/players/104.png,Attacker,36
107,24,,"",,"","S. Diop","",10,https://media.api-sports.io/football/players/107.png,Midfielder,84
109,28,,"",,"","A. Golovin","",10,https://media.api-sports.io/football/players/109.png,Midfielder,91
116,23,,"",,"","K. Thuram","",19,https://media.api-sports.io/football/players/116.png,Midfielder,496
123,23,,"",,"","P. Pellegri","",9,https://media.api-sports.io/football/players/123.png,Attacker,511
124,35,,"",,"","J. Cillessen","",1,https://media.api-sports.io/football/players/124.png,Goalkeeper,534
126,25,,"",,"","Iñaki Peña","",13,https://media.api-sports.io/football/players/126.png,Goalkeeper,529
127,32,,"",,"","M. ter Stegen","",1,https://media.api-sports.io/football/players/127.png,Goalkeeper,529
130,31,,"",,"","Nélson Semedo","",22,https://media.api-sports.io/football/players/130.png,Defender,39
131,25,,"",,"","Jorge Cuenca","",15,https://media.api-sports.io/football/players/131.png,Defender,36
133,29,,"",,"","C. Lenglet","",15,https://media.api-sports.io/football/players/133.png,Defender,530
134,24,,"",,"","Juan Miranda","",33,https://media.api-sports.io/football/players/134.png,Defender,500
137,32,,"",,"","Sergi Roberto","",20,https://media.api-sports.io/football/players/137.png,Midfielder,895
138,25,,"",,"","J. Todibo","",25,https://media.api-sports.io/football/players/138.png,Defender,48
139,31,,"",,"","S. Umtiti","",14,https://media.api-sports.io/football/players/139.png,Defender,79
143,26,,"",,"","Carles Aleñá","",11,https://media.api-sports.io/football/players/143.png,Midfielder,546
150,28,,"",,"",Arthur,"",18,https://media.api-sports.io/football/players/150.png,Midfielder,496
153,27,,"",,"","O. Dembélé","",10,https://media.api-sports.io/football/players/153.png,Attacker,85
155,24,,"",,"","Abel Ruiz","",9,https://media.api-sports.io/football/players/155.png,Attacker,547
158,32,,"",,"","P. Gazzaniga","",13,https://media.api-sports.io/football/players/158.png,Goalkeeper,547
161,26,,"",,"","A. Whiteman","",41,https://media.api-sports.io/football/players/161.png,Goalkeeper,47
164,31,,"",,"","B. Davies","",33,https://media.api-sports.io/football/players/164.png,Defender,47
166,26,,"",,"","J. Foyth","",8,https://media.api-sports.io/football/players/166.png,Defender,533
169,34,,"",,"","K. Trippier","",2,https://media.api-sports.io/football/players/169.png,Defender,34
171,27,,"",,"","K. Walker-Peters","",2,https://media.api-sports.io/football/players/171.png,Defender,41
174,32,,"",,"","C. Eriksen","",14,https://media.api-sports.io/football/players/174.png,Midfielder,33
175,30,,"",,"","E. Dier","",15,https://media.api-sports.io/football/players/175.png,Defender,157
180,24,,"",,"","O. Skipp","",22,https://media.api-sports.io/football/players/180.png,Midfielder,46
182,28,,"",,"","H. Winks","",8,https://media.api-sports.io/football/players/182.png,Midfielder,46
184,31,,"",,"","H. Kane","",9,https://media.api-sports.io/football/players/184.png,Attacker,157
